0,BIRCH,K-Means,MiniBatchKMeans,BisectingKMeans,AggCluWard, Class
Gaia18ddh,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18ddb,5.0,0.0,4.0,0.0,2.0,SN Ia
Gaia18dcz,5.0,0.0,4.0,0.0,2.0,SN Ia
Gaia18dcv,3.0,1.0,2.0,3.0,1.0,unknown
Gaia18dcs,5.0,0.0,4.0,0.0,2.0,unknown
Gaia18dcm,7.0,1.0,2.0,3.0,1.0,unknown
Gaia18dcj,5.0,0.0,0.0,1.0,2.0,SN Ia
Gaia18dcd,5.0,0.0,4.0,0.0,2.0,SN Ia
Gaia18dbz,5.0,0.0,1.0,0.0,2.0,unknown
Gaia18dbx,3.0,4.0,2.0,3.0,1.0,CV
Gaia18dbw,7.0,1.0,2.0,2.0,1.0,unknown
Gaia18dbs,5.0,0.0,0.0,1.0,2.0,SN Ia
Gaia18dbr,5.0,0.0,4.0,0.0,2.0,SN II
Gaia18dbn,3.0,4.0,2.0,3.0,1.0,unknown
Gaia18dbk,2.0,4.0,7.0,0.0,3.0,unknown
Gaia18dbe,7.0,1.0,5.0,2.0,1.0,CV
Gaia18dbc,5.0,0.0,4.0,0.0,2.0,SN Ia
Gaia18dbb,5.0,0.0,4.0,0.0,2.0,SN Ia
Gaia18dav,3.0,4.0,2.0,2.0,1.0,unknown
Gaia18das,4.0,5.0,6.0,4.0,7.0,unknown
Gaia18daf,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18czt,3.0,4.0,1.0,5.0,0.0,unknown
Gaia18czn,0.0,7.0,3.0,5.0,0.0,YSO
Gaia18czm,0.0,6.0,3.0,5.0,0.0,YSO
Gaia18czl,7.0,4.0,1.0,3.0,1.0,unknown
Gaia18czg,3.0,0.0,4.0,0.0,2.0,SN Ia
Gaia18czd,7.0,1.0,5.0,2.0,1.0,CV
Gaia18czc,4.0,1.0,2.0,3.0,7.0,CV
Gaia18cza,3.0,6.0,3.0,5.0,0.0,unknown
Gaia18cyz,3.0,3.0,3.0,7.0,5.0,unknown
Gaia18cyn,4.0,5.0,6.0,1.0,7.0,unknown
Gaia18cyl,4.0,5.0,6.0,4.0,7.0,unknown
Gaia18cyc,4.0,5.0,6.0,4.0,7.0,TDE
Gaia18cxz,0.0,7.0,3.0,5.0,0.0,unknown
Gaia18cxx,7.0,1.0,2.0,2.0,1.0,unknown
Gaia18cxs,5.0,7.0,1.0,2.0,1.0,unknown
Gaia18cxo,3.0,4.0,1.0,3.0,1.0,QSO
Gaia18cwx,1.0,4.0,1.0,7.0,4.0,unknown
Gaia18cwv,1.0,7.0,3.0,6.0,4.0,unknown
Gaia18cwu,1.0,7.0,3.0,6.0,4.0,ULENS
Gaia18cwq,5.0,0.0,4.0,0.0,2.0,SN Ia
Gaia18cwj,4.0,5.0,6.0,4.0,7.0,BL Lac
Gaia18cwf,7.0,1.0,5.0,2.0,1.0,CV
Gaia18cwe,7.0,1.0,2.0,3.0,1.0,CV
Gaia18cvq,0.0,4.0,1.0,5.0,1.0,CV
Gaia18cvo,3.0,4.0,1.0,4.0,0.0,unknown
Gaia18cvc,0.0,7.0,3.0,5.0,0.0,unknown
Gaia18cva,4.0,4.0,2.0,3.0,7.0,unknown
Gaia18cuz,3.0,4.0,7.0,0.0,1.0,unknown
Gaia18cuy,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18cux,7.0,1.0,2.0,2.0,1.0,unknown
Gaia18cuw,3.0,4.0,1.0,5.0,1.0,unknown
Gaia18cuv,3.0,3.0,2.0,7.0,5.0,unknown
Gaia18cuu,7.0,1.0,2.0,3.0,1.0,unknown
Gaia18cur,5.0,0.0,4.0,0.0,2.0,SN II
Gaia18cuo,5.0,0.0,0.0,1.0,2.0,unknown
