0,K-Means,DBSCAN,MiniBatchKMeans,BisectingKMeans,AggCluAvarage,AggCluComplete,AggCluSingle,AggCluWard, Class
Gaia22bie,6.0,0.0,3.0,2.0,0.0,1.0,0.0,4.0,unknown
Gaia22bic,3.0,0.0,6.0,0.0,0.0,1.0,0.0,3.0,unknown
Gaia22bib,2.0,0.0,3.0,2.0,0.0,1.0,0.0,4.0,unknown
Gaia22bhw,2.0,0.0,3.0,3.0,0.0,1.0,0.0,4.0,unknown
Gaia22bhv,6.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bhu,1.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,AGN
Gaia22bhj,6.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,CV
Gaia22bhi,1.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,unknown
Gaia22bhh,6.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,unknown
Gaia22bhe,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bhc,6.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bhb,6.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bgo,6.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,unknown
Gaia22bgk,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bgj,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bgi,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,CV
Gaia22bgh,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,QSO
Gaia22bfz,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bfy,2.0,0.0,3.0,3.0,0.0,1.0,0.0,4.0,unknown
Gaia22bfn,1.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bfj,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,YSO
Gaia22bfh,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,CV
Gaia22bfe,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,BL Lac
Gaia22bez,6.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bem,2.0,0.0,3.0,3.0,0.0,1.0,0.0,3.0,unknown
Gaia22bel,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,unknown
Gaia22beb,0.0,0.0,4.0,6.0,0.0,1.0,0.0,6.0,SN Ia
Gaia22bdz,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,unknown
Gaia22bdy,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,QSO
Gaia22bdx,2.0,0.0,3.0,3.0,0.0,1.0,0.0,4.0,unknown
