0,DBSCAN
Gaia22bci,0
Gaia22bch,0
Gaia22bcg,0
Gaia22bcf,17
Gaia22bcb,0
Gaia22bca,0
Gaia22bbz,0
Gaia22bby,0
Gaia22bbx,0
Gaia22bbw,0
Gaia22bbv,0
Gaia22bbu,0
Gaia22bbq,0
Gaia22bbp,-1
Gaia22bbo,-1
Gaia22bbn,0
Gaia22bbm,-1
Gaia22bbl,0
Gaia22bbj,-1
Gaia22bbi,0
Gaia22bbh,0
Gaia22bbg,-1
Gaia22bbf,0
Gaia22bbd,-1
Gaia22bbc,-1
Gaia22bbb,0
Gaia22bay,0
Gaia22bax,0
Gaia22baw,0
Gaia22bat,0
Gaia22bas,0
Gaia22bar,0
Gaia22baq,0
Gaia22bap,0
Gaia22ban,-1
Gaia22bal,-1
Gaia22baj,0
Gaia22bai,-1
Gaia22bah,0
Gaia22bag,0
Gaia22bab,0
Gaia22baa,0
Gaia22azz,0
Gaia22azy,0
Gaia22azx,0
Gaia22azv,-1
Gaia22azu,18
Gaia22azs,19
Gaia22azq,-1
Gaia22azp,0
Gaia22azn,0
Gaia22azm,0
Gaia22azl,-1
Gaia22azj,0
Gaia22azi,0
Gaia22azg,0
Gaia22azf,-1
Gaia22aze,0
Gaia22azd,0
Gaia22azc,0
Gaia22azb,0
Gaia22aza,0
Gaia22ayz,0
Gaia22ayy,-1
Gaia22ayx,0
Gaia22ayw,0
Gaia22ayv,-1
Gaia22ayu,-1
Gaia22ayt,0
Gaia22ays,-1
Gaia22ayr,0
Gaia22ayq,-1
Gaia22ayp,0
Gaia22ayn,0
Gaia22aym,0
Gaia22ayl,-1
Gaia22ayj,-1
Gaia22ayi,0
Gaia22ayh,0
Gaia22ayg,0
Gaia22ayf,0
Gaia22ayd,0
Gaia22ayc,0
Gaia22axy,-1
Gaia22axv,-1
Gaia22axu,-1
Gaia22axt,-1
Gaia22axq,-1
Gaia22axp,-1
Gaia22axo,0
Gaia22axn,-1
Gaia22axm,0
Gaia22axk,0
Gaia22axj,-1
Gaia22axi,0
Gaia22axh,0
Gaia22axf,0
Gaia22axe,0
Gaia22axd,0
Gaia22axc,20
Gaia22axa,0
Gaia22awz,-1
Gaia22awy,0
Gaia22aww,-1
Gaia22awv,0
Gaia22awu,21
Gaia22awt,0
Gaia22aws,-1
Gaia22awq,0
Gaia22awp,-1
Gaia22awm,-1
Gaia22awl,-1
Gaia22awk,0
Gaia22awj,0
Gaia22awh,-1
Gaia22awg,0
Gaia22awf,0
Gaia22awe,-1
Gaia22awd,-1
Gaia22awc,-1
Gaia22awb,0
Gaia22awa,-1
Gaia22avz,-1
Gaia22avy,-1
Gaia22avw,0
Gaia22avt,0
Gaia22avs,0
Gaia22avr,0
Gaia22avp,-1
Gaia22avo,-1
Gaia22avm,0
Gaia22avk,-1
Gaia22avj,0
Gaia22avi,0
Gaia22avh,0
Gaia22avg,-1
Gaia22avf,0
Gaia22ave,-1
Gaia22ava,-1
Gaia22auz,-1
Gaia22auy,0
Gaia22auw,-1
Gaia22auv,-1
Gaia22auu,0
Gaia22aut,-1
Gaia22aur,0
Gaia22auq,-1
Gaia22aup,0
Gaia22auo,0
Gaia22aui,-1
Gaia22auh,0
Gaia22aug,-1
Gaia22aue,-1
Gaia22aud,-1
Gaia22auc,-1
Gaia22aub,-1
Gaia22aua,0
Gaia22atz,-1
Gaia22aty,0
Gaia22atv,0
Gaia22att,0
Gaia22ats,0
Gaia22atr,0
Gaia22atq,0
Gaia22atp,0
Gaia22ato,-1
Gaia22atn,0
Gaia22atm,0
Gaia22atl,0
Gaia22ati,-1
Gaia22atg,0
Gaia22atf,-1
Gaia22ate,-1
Gaia22atd,-1
Gaia22atc,-1
Gaia22atb,-1
Gaia22asx,0
Gaia22asw,0
Gaia22asv,0
Gaia22asu,0
Gaia22ast,-1
Gaia22ass,-1
Gaia22asr,-1
Gaia22asq,0
Gaia22asp,0
Gaia22aso,0
Gaia22asn,0
Gaia22asm,0
Gaia22asl,0
Gaia22ask,-1
Gaia22asj,0
Gaia22asi,0
Gaia22ash,-1
Gaia22asg,0
Gaia22ase,0
